rank,tier,video_id,title,url,duration_minutes,best_mode,distinct_value
1,core,6THELzcsmhI,Tier ranking the only study methods you'll ever need to use if you want the best grades,https://www.youtube.com/watch?v=6THELzcsmhI,11.4,read,Overview of the complete learning system
2,core,37oWDx0V3gw,the only THREE note pages you'll ever need to use | tested as a Cambridge student,https://www.youtube.com/watch?v=37oWDx0V3gw,12.3,watch,Visual note-page templates and blurt-refine-condense workflow
3,core,_Nl1T6xISrM,train your brain to remember what you read,https://www.youtube.com/watch?v=_Nl1T6xISrM,6.8,read,Preview-chunk-recall reading loop
4,core,vNhHjDafQIk,you can train your brain to focus | 4 methods,https://www.youtube.com/watch?v=vNhHjDafQIk,8.6,read,Attention triggers start cues and sustained-focus practice
5,core,4AFQOZNeIzg,this is how to truly stop procrastinating,https://www.youtube.com/watch?v=4AFQOZNeIzg,8.9,read,Emotional avoidance clear step one and two-minute start
6,core,5fjcz9nSId4,GIVE ME 5 MINUTES AND I WILL MAKE YOU THE MOST PRODUCTIVE VERSION OF YOURSELF,https://www.youtube.com/watch?v=5fjcz9nSId4,5.3,read,Implementation intentions and minimum viable action
7,core,FWfdGjgRxVc,you need a personal curriculum,https://www.youtube.com/watch?v=FWfdGjgRxVc,10.4,read,Self-directed curriculum beyond exam optimization
8,core,X4pZD0D132w,watching productivity content will NEVER make you more productive and this is why,https://www.youtube.com/watch?v=X4pZD0D132w,3.8,read last,Stopping rule for advice consumption
9,optional,o_dSpOqGtrQ,top students gatekeep the Feynman technique | this is how you do it properly,https://www.youtube.com/watch?v=o_dSpOqGtrQ,8.1,watch,Worked explanation protocol
10,optional,LXtjLdtCSvE,curiosity mapping will change your life | this is how to do it,https://www.youtube.com/watch?v=LXtjLdtCSvE,11.2,watch,Question branching and research mapping
11,optional,oM_MXvhIvbA,being high agency will change your life | your friends will not believe how successful you'll become,https://www.youtube.com/watch?v=oM_MXvhIvbA,7.1,read,Initiative and route-finding under constraints
