priority,title,url,minutes,consume_mode,distinct_contribution
1,watching productivity content will NEVER make you more productive and this is why,https://www.youtube.com/watch?v=X4pZD0D132w,3.8,watch first,Guardrail against advice consumption replacing work
2,optimising your sleep will make you three times as productive after just one week,https://www.youtube.com/watch?v=vnD_s9nx3JY,8.4,read critically,Sleep as substrate; discount the precise multiplier
3,you should have a personal curriculum,https://www.youtube.com/watch?v=fOkKGSEbZyY,8.9,watch or read closely,Operational system for self-directed learning
4,"how to learn anything, according to neuroscience",https://www.youtube.com/watch?v=Smp0PFa2xjc,6.7,read the protocol,Compact learn-retrieve-inspect loop
5,Tier ranking the only study methods you'll ever need,https://www.youtube.com/watch?v=6THELzcsmhI,11.4,use as a selector,Matches study methods to different learning jobs
6,"I can't focus on anything anymore",https://www.youtube.com/watch?v=2zGapisfWHo,11.4,watch exercises,Low stimulation and progressive focus training
7,how to improve your critical thinking,https://www.youtube.com/watch?v=mHkOk3W48gk,17.0,watch exercises,Reasoning drills and evidence separation
8,This video will make you an amazing public speaker,https://www.youtube.com/watch?v=EydURbW5aoc,17.0,watch and practice,Speaking structure plus recorded feedback loop
9,how to trick your brain into becoming so disciplined,https://www.youtube.com/watch?v=DzfF5SEzpWE,7.8,read the actions,Precommitment friction and immediate feedback
10,how to engineer your own luck,https://www.youtube.com/watch?v=y0A-0v-UO3s,7.4,watch,Opportunity surface area and consistent output
11,the cheat code to confidence and being charismatic,https://www.youtube.com/watch?v=6QHKd2atveA,10.6,watch selectively,Credible confidence plus warmth and uncertainty
12,this life tracker will make you more productive than anyone you know,https://www.youtube.com/watch?v=vh3-ZE7w5MU,7.2,copy the template,Small daily operating system
